symbol,timestamp,side,x,g,mid,liquidity_top3
SOUN,2025-04-03 13:30:00.018846536+00:00,buy,414,0.0021739130434782787,7.895,1465
SOUN,2025-04-03 13:30:00.018846536+00:00,buy,493,0.006409736308316436,7.895,1465
SOUN,2025-04-03 13:30:00.018846536+00:00,buy,500,0.001120000000000001,7.895,1465
SOUN,2025-04-03 13:30:00.018846536+00:00,sell,232,0.0,7.895,1465
SOUN,2025-04-03 13:30:00.018846536+00:00,sell,400,0.00419999999999991,7.895,1465
SOUN,2025-04-03 13:30:00.018846536+00:00,sell,500,0.003999999999999915,7.895,1465
SOUN,2025-04-03 13:30:00.018994524+00:00,buy,180,0.0,7.895,1565
SOUN,2025-04-03 13:30:00.018994524+00:00,buy,484,0.006280991735537056,7.895,1565
SOUN,2025-04-03 13:30:00.018994524+00:00,buy,500,0.0009600000000000079,7.895,1565
SOUN,2025-04-03 13:30:00.018994524+00:00,sell,232,0.0,7.895,1565
SOUN,2025-04-03 13:30:00.018994524+00:00,sell,400,0.00419999999999991,7.895,1565
SOUN,2025-04-03 13:30:00.018994524+00:00,sell,500,0.003999999999999915,7.895,1565
SOUN,2025-04-03 13:30:00.019727360+00:00,buy,180,0.0,7.895,1665
SOUN,2025-04-03 13:30:00.019727360+00:00,buy,484,0.006280991735537056,7.895,1665
SOUN,2025-04-03 13:30:00.019727360+00:00,buy,500,0.0009600000000000079,7.895,1665
SOUN,2025-04-03 13:30:00.019727360+00:00,sell,332,0.0,7.895,1665
SOUN,2025-04-03 13:30:00.019727360+00:00,sell,500,0.0033599999999999286,7.895,1665
SOUN,2025-04-03 13:30:00.019806079+00:00,buy,180,0.0,7.895,1765
SOUN,2025-04-03 13:30:00.019806079+00:00,buy,484,0.006280991735537056,7.895,1765
SOUN,2025-04-03 13:30:00.019806079+00:00,buy,500,0.0009600000000000079,7.895,1765
SOUN,2025-04-03 13:30:00.019806079+00:00,sell,432,0.0,7.895,1765
SOUN,2025-04-03 13:30:00.019806079+00:00,sell,500,0.001359999999999971,7.895,1765
SOUN,2025-04-03 13:30:00.020385122+00:00,buy,180,0.0,7.895,1865
SOUN,2025-04-03 13:30:00.020385122+00:00,buy,500,0.006399999999999863,7.895,1865
SOUN,2025-04-03 13:30:00.020385122+00:00,sell,432,0.0,7.895,1865
SOUN,2025-04-03 13:30:00.020385122+00:00,sell,500,0.001359999999999971,7.895,1865
SOUN,2025-04-03 13:30:00.025699287+00:00,buy,80,0.0,7.895,1765
SOUN,2025-04-03 13:30:00.025699287+00:00,buy,484,0.008347107438016352,7.895,1765
SOUN,2025-04-03 13:30:00.025699287+00:00,buy,500,0.0009600000000000079,7.895,1765
SOUN,2025-04-03 13:30:00.025699287+00:00,sell,432,0.0,7.895,1765
SOUN,2025-04-03 13:30:00.025699287+00:00,sell,500,0.001359999999999971,7.895,1765
SOUN,2025-04-03 13:30:00.125831620+00:00,buy,75,0.0,7.890000000000001,1810
SOUN,2025-04-03 13:30:00.125831620+00:00,buy,155,0.005161290322580535,7.890000000000001,1810
SOUN,2025-04-03 13:30:00.125831620+00:00,buy,500,0.013799999999999707,7.890000000000001,1810
SOUN,2025-04-03 13:30:00.125831620+00:00,sell,432,0.0,7.890000000000001,1810
SOUN,2025-04-03 13:30:00.125831620+00:00,sell,500,0.001359999999999971,7.890000000000001,1810
SOUN,2025-04-03 13:30:00.165679605+00:00,buy,75,0.0,7.890000000000001,1910
SOUN,2025-04-03 13:30:00.165679605+00:00,buy,155,0.005161290322580535,7.890000000000001,1910
SOUN,2025-04-03 13:30:00.165679605+00:00,buy,500,0.013799999999999707,7.890000000000001,1910
SOUN,2025-04-03 13:30:00.165679605+00:00,sell,432,0.0,7.890000000000001,1910
SOUN,2025-04-03 13:30:00.165679605+00:00,sell,500,0.001359999999999971,7.890000000000001,1910
SOUN,2025-04-03 13:30:00.171637037+00:00,buy,75,0.0,7.890000000000001,2010
SOUN,2025-04-03 13:30:00.171637037+00:00,buy,155,0.005161290322580535,7.890000000000001,2010
SOUN,2025-04-03 13:30:00.171637037+00:00,buy,500,0.013799999999999707,7.890000000000001,2010
SOUN,2025-04-03 13:30:00.171637037+00:00,sell,432,0.0,7.890000000000001,2010
SOUN,2025-04-03 13:30:00.171637037+00:00,sell,500,0.001359999999999971,7.890000000000001,2010
SOUN,2025-04-03 13:30:00.175784064+00:00,buy,75,0.0,7.890000000000001,1960
SOUN,2025-04-03 13:30:00.175784064+00:00,buy,479,0.01686847599164891,7.890000000000001,1960
SOUN,2025-04-03 13:30:00.175784064+00:00,buy,500,0.0016800000000000016,7.890000000000001,1960
SOUN,2025-04-03 13:30:00.175784064+00:00,sell,432,0.0,7.890000000000001,1960
SOUN,2025-04-03 13:30:00.175784064+00:00,sell,500,0.001359999999999971,7.890000000000001,1960
SOUN,2025-04-03 13:30:00.178700087+00:00,buy,404,0.0,7.9,1964
SOUN,2025-04-03 13:30:00.178700087+00:00,buy,434,0.0013824884792627047,7.9,1964
SOUN,2025-04-03 13:30:00.178700087+00:00,buy,500,0.003960000000000033,7.9,1964
SOUN,2025-04-03 13:30:00.178700087+00:00,sell,432,0.0,7.9,1964
SOUN,2025-04-03 13:30:00.178700087+00:00,sell,500,0.001359999999999971,7.9,1964
SOUN,2025-04-03 13:30:00.179655990+00:00,buy,404,0.0,7.9,1985
SOUN,2025-04-03 13:30:00.179655990+00:00,buy,500,0.001919999999999959,7.9,1985
SOUN,2025-04-03 13:30:00.179655990+00:00,sell,432,0.0,7.9,1985
SOUN,2025-04-03 13:30:00.179655990+00:00,sell,500,0.001359999999999971,7.9,1985
SOUN,2025-04-03 13:30:00.180098323+00:00,buy,404,0.0,7.9,2085
SOUN,2025-04-03 13:30:00.180098323+00:00,buy,500,0.001919999999999959,7.9,2085
SOUN,2025-04-03 13:30:00.180098323+00:00,sell,432,0.0,7.9,2085
SOUN,2025-04-03 13:30:00.180098323+00:00,sell,500,0.001359999999999971,7.9,2085
SOUN,2025-04-03 13:30:00.181748928+00:00,buy,404,0.0,7.9,2185
SOUN,2025-04-03 13:30:00.181748928+00:00,buy,500,0.001919999999999959,7.9,2185
SOUN,2025-04-03 13:30:00.181748928+00:00,sell,432,0.0,7.9,2185
SOUN,2025-04-03 13:30:00.181748928+00:00,sell,500,0.001359999999999971,7.9,2185
SOUN,2025-04-03 13:30:00.182553609+00:00,buy,404,0.0,7.9,2285
SOUN,2025-04-03 13:30:00.182553609+00:00,buy,500,0.001919999999999959,7.9,2285
SOUN,2025-04-03 13:30:00.182553609+00:00,sell,432,0.0,7.9,2285
SOUN,2025-04-03 13:30:00.182553609+00:00,sell,500,0.001359999999999971,7.9,2285
SOUN,2025-04-03 13:30:00.189539128+00:00,buy,100,0.0,7.895,2355
SOUN,2025-04-03 13:30:00.189539128+00:00,buy,500,0.00799999999999983,7.895,2355
SOUN,2025-04-03 13:30:00.189539128+00:00,sell,432,0.0,7.895,2355
SOUN,2025-04-03 13:30:00.189539128+00:00,sell,500,0.001359999999999971,7.895,2355
SOUN,2025-04-03 13:30:00.190511729+00:00,buy,200,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.190511729+00:00,buy,500,0.005999999999999872,7.895,2455
SOUN,2025-04-03 13:30:00.190511729+00:00,sell,432,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.190511729+00:00,sell,500,0.001359999999999971,7.895,2455
SOUN,2025-04-03 13:30:00.191077622+00:00,buy,300,0.0,7.895,2555
SOUN,2025-04-03 13:30:00.191077622+00:00,buy,500,0.003999999999999915,7.895,2555
SOUN,2025-04-03 13:30:00.191077622+00:00,sell,432,0.0,7.895,2555
SOUN,2025-04-03 13:30:00.191077622+00:00,sell,500,0.001359999999999971,7.895,2555
SOUN,2025-04-03 13:30:00.192076248+00:00,buy,400,0.0,7.895,2655
SOUN,2025-04-03 13:30:00.192076248+00:00,buy,500,0.0019999999999999575,7.895,2655
SOUN,2025-04-03 13:30:00.192076248+00:00,sell,432,0.0,7.895,2655
SOUN,2025-04-03 13:30:00.192076248+00:00,sell,500,0.001359999999999971,7.895,2655
SOUN,2025-04-03 13:30:00.192480378+00:00,buy,300,0.0,7.895,2555
SOUN,2025-04-03 13:30:00.192480378+00:00,buy,500,0.003999999999999915,7.895,2555
SOUN,2025-04-03 13:30:00.192480378+00:00,sell,432,0.0,7.895,2555
SOUN,2025-04-03 13:30:00.192480378+00:00,sell,500,0.001359999999999971,7.895,2555
SOUN,2025-04-03 13:30:00.192549507+00:00,buy,300,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.192549507+00:00,buy,500,0.003999999999999915,7.895,2455
SOUN,2025-04-03 13:30:00.192549507+00:00,sell,432,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.192549507+00:00,sell,500,0.001359999999999971,7.895,2455
SOUN,2025-04-03 13:30:00.194007538+00:00,buy,300,0.0,7.895,2555
SOUN,2025-04-03 13:30:00.194007538+00:00,buy,500,0.003999999999999915,7.895,2555
SOUN,2025-04-03 13:30:00.194007538+00:00,sell,432,0.0,7.895,2555
SOUN,2025-04-03 13:30:00.194007538+00:00,sell,500,0.001359999999999971,7.895,2555
SOUN,2025-04-03 13:30:00.194098587+00:00,buy,200,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.194098587+00:00,buy,500,0.005999999999999872,7.895,2455
SOUN,2025-04-03 13:30:00.194098587+00:00,sell,432,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.194098587+00:00,sell,500,0.001359999999999971,7.895,2455
SOUN,2025-04-03 13:30:00.194132913+00:00,buy,200,0.0,7.895,2355
SOUN,2025-04-03 13:30:00.194132913+00:00,buy,404,0.005049504950494942,7.895,2355
SOUN,2025-04-03 13:30:00.194132913+00:00,buy,500,0.003839999999999918,7.895,2355
SOUN,2025-04-03 13:30:00.194132913+00:00,sell,432,0.0,7.895,2355
SOUN,2025-04-03 13:30:00.194132913+00:00,sell,500,0.001359999999999971,7.895,2355
SOUN,2025-04-03 13:30:00.194298908+00:00,buy,100,0.0,7.895,2255
SOUN,2025-04-03 13:30:00.194298908+00:00,buy,304,0.006710526315789331,7.895,2255
SOUN,2025-04-03 13:30:00.194298908+00:00,buy,500,0.007839999999999833,7.895,2255
SOUN,2025-04-03 13:30:00.194298908+00:00,sell,432,0.0,7.895,2255
SOUN,2025-04-03 13:30:00.194298908+00:00,sell,500,0.001359999999999971,7.895,2255
SOUN,2025-04-03 13:30:00.194340896+00:00,buy,100,0.0,7.895,2355
SOUN,2025-04-03 13:30:00.194340896+00:00,buy,304,0.006710526315789331,7.895,2355
SOUN,2025-04-03 13:30:00.194340896+00:00,buy,500,0.007839999999999833,7.895,2355
SOUN,2025-04-03 13:30:00.194340896+00:00,sell,432,0.0,7.895,2355
SOUN,2025-04-03 13:30:00.194340896+00:00,sell,500,0.001359999999999971,7.895,2355
SOUN,2025-04-03 13:30:00.195029250+00:00,buy,100,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.195029250+00:00,buy,404,0.007524752475247364,7.895,2455
SOUN,2025-04-03 13:30:00.195029250+00:00,buy,500,0.003839999999999918,7.895,2455
SOUN,2025-04-03 13:30:00.195029250+00:00,sell,432,0.0,7.895,2455
SOUN,2025-04-03 13:30:00.195029250+00:00,sell,500,0.001359999999999971,7.895,2455
SOUN,2025-04-03 13:30:00.195035837+00:00,buy,304,0.0,7.9,2385
SOUN,2025-04-03 13:30:00.195035837+00:00,buy,500,0.003919999999999917,7.9,2385
SOUN,2025-04-03 13:30:00.195035837+00:00,sell,432,0.0,7.9,2385
SOUN,2025-04-03 13:30:00.195035837+00:00,sell,500,0.001359999999999971,7.9,2385
SOUN,2025-04-03 13:30:00.195287692+00:00,buy,204,0.0,7.9,2285
SOUN,2025-04-03 13:30:00.195287692+00:00,buy,500,0.005919999999999874,7.9,2285
SOUN,2025-04-03 13:30:00.195287692+00:00,sell,432,0.0,7.9,2285
SOUN,2025-04-03 13:30:00.195287692+00:00,sell,500,0.001359999999999971,7.9,2285
SOUN,2025-04-03 13:30:00.195537042+00:00,buy,104,0.0,7.9,2185
SOUN,2025-04-03 13:30:00.195537042+00:00,buy,500,0.007919999999999832,7.9,2185
SOUN,2025-04-03 13:30:00.195537042+00:00,sell,432,0.0,7.9,2185
SOUN,2025-04-03 13:30:00.195537042+00:00,sell,500,0.001359999999999971,7.9,2185
SOUN,2025-04-03 13:30:00.195676153+00:00,buy,204,0.0,7.9,2285
SOUN,2025-04-03 13:30:00.195676153+00:00,buy,500,0.005919999999999874,7.9,2285
SOUN,2025-04-03 13:30:00.195676153+00:00,sell,432,0.0,7.9,2285
SOUN,2025-04-03 13:30:00.195676153+00:00,sell,500,0.001359999999999971,7.9,2285
SOUN,2025-04-03 13:30:00.195877416+00:00,buy,104,0.0,7.9,2185
SOUN,2025-04-03 13:30:00.195877416+00:00,buy,500,0.007919999999999832,7.9,2185
SOUN,2025-04-03 13:30:00.195877416+00:00,sell,432,0.0,7.9,2185
SOUN,2025-04-03 13:30:00.195877416+00:00,sell,500,0.001359999999999971,7.9,2185
SOUN,2025-04-03 13:30:00.195943140+00:00,buy,4,0.0,7.9,2085
SOUN,2025-04-03 13:30:00.195943140+00:00,buy,404,0.00990099009900969,7.9,2085
SOUN,2025-04-03 13:30:00.195943140+00:00,buy,434,0.0013824884792627047,7.9,2085
SOUN,2025-04-03 13:30:00.195943140+00:00,buy,500,0.003960000000000033,7.9,2085
SOUN,2025-04-03 13:30:00.195943140+00:00,sell,432,0.0,7.9,2085
SOUN,2025-04-03 13:30:00.195943140+00:00,sell,500,0.001359999999999971,7.9,2085
SOUN,2025-04-03 13:30:00.359528243+00:00,buy,4,0.0,7.9,2085
SOUN,2025-04-03 13:30:00.359528243+00:00,buy,404,0.00990099009900969,7.9,2085
SOUN,2025-04-03 13:30:00.359528243+00:00,buy,434,0.0013824884792627047,7.9,2085
SOUN,2025-04-03 13:30:00.359528243+00:00,buy,500,0.003960000000000033,7.9,2085
SOUN,2025-04-03 13:30:00.359528243+00:00,sell,432,0.0,7.9,2085
SOUN,2025-04-03 13:30:00.359528243+00:00,sell,500,0.001359999999999971,7.9,2085
SOUN,2025-04-03 13:30:00.359528243+00:00,buy,500,0.0,7.9,11716
SOUN,2025-04-03 13:30:00.359528243+00:00,sell,500,0.0,7.9,11716
SOUN,2025-04-03 13:30:00.359528243+00:00,buy,500,0.0,7.9,19379
SOUN,2025-04-03 13:30:00.359528243+00:00,sell,500,0.0,7.9,19379
SOUN,2025-04-03 13:30:00.359528243+00:00,buy,500,0.0,7.9,19379
SOUN,2025-04-03 13:30:00.359528243+00:00,sell,500,0.0,7.9,19379
SOUN,2025-04-03 13:30:00.360015274+00:00,buy,500,0.0,7.9,19579
SOUN,2025-04-03 13:30:00.360015274+00:00,sell,500,0.0,7.9,19579
SOUN,2025-04-03 13:30:00.360189409+00:00,buy,500,0.0,7.9,19679
SOUN,2025-04-03 13:30:00.360189409+00:00,sell,500,0.0,7.9,19679
SOUN,2025-04-03 13:30:00.360209631+00:00,buy,500,0.0,7.9,19779
SOUN,2025-04-03 13:30:00.360209631+00:00,sell,500,0.0,7.9,19779
SOUN,2025-04-03 13:30:00.360536513+00:00,buy,500,0.0,7.9,20079
SOUN,2025-04-03 13:30:00.360536513+00:00,sell,500,0.0,7.9,20079
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,20079
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,20079
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,20067
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,20067
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,20057
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,20057
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,20040
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,20040
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,20038
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,20038
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,19658
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,19658
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,19656
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,19656
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,19631
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,19631
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.9,19581
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.9,19581
SOUN,2025-04-03 13:30:00.361104038+00:00,buy,500,0.0,7.895,21742
SOUN,2025-04-03 13:30:00.361104038+00:00,sell,500,0.0,7.895,21742
SOUN,2025-04-03 13:30:00.361182046+00:00,buy,74,0.0,7.890000000000001,21206
SOUN,2025-04-03 13:30:00.361182046+00:00,buy,500,0.008519999999999818,7.890000000000001,21206
SOUN,2025-04-03 13:30:00.361182046+00:00,sell,500,0.0,7.890000000000001,21206
SOUN,2025-04-03 13:30:00.361701503+00:00,buy,74,0.0,7.890000000000001,21306
SOUN,2025-04-03 13:30:00.361701503+00:00,buy,500,0.008519999999999818,7.890000000000001,21306
SOUN,2025-04-03 13:30:00.361701503+00:00,sell,500,0.0,7.890000000000001,21306
SOUN,2025-04-03 13:30:00.361710937+00:00,buy,74,0.0,7.890000000000001,21380
SOUN,2025-04-03 13:30:00.361710937+00:00,buy,500,0.008519999999999818,7.890000000000001,21380
SOUN,2025-04-03 13:30:00.361710937+00:00,sell,500,0.0,7.890000000000001,21380
SOUN,2025-04-03 13:30:00.363104318+00:00,buy,74,0.0,7.890000000000001,21380
